Faculty Member,Department,Role
Lindsay F. Braun,African Studies, history 
Yvonne A. Braun,African Studies, women’s and gender studies 
André Djiffack,African Studies, Romance languages 
Jenifer P. Craig,African Studies, dance 
John Fenn,African Studies, arts and administration 
Stephen R. Frost,African Studies, anthropology 
Dennis C. Galvan,African Studies, international studies 
Ibrahim J. Gassama,African Studies, law 
Lisa M. Gilman,African Studies, English 
Rita Honka,African Studies, dance 
Karen McPherson,African Studies, Romance languages 
Doris L. Payne,African Studies, linguistics 
Peter A. Walker,African Studies, geography 
Janis C. Weeks,African Studies, biology 
Frances J. White,African Studies, anthropology 
Stephen R. Wooten,African Studies, international studies 
William S. Ayres,Anthropology," professor (Pacific islands and Southeast Asian archaeology, chiefdoms, archaeometry) "
Diane B. Baxter,Anthropology," adjunct assistant professor (politics of identity and gender, ethnographic writing, Middle East) "
Aletta Biersack,Anthropology," professor (New Guinea, historical anthropology, political ecology) "
Jon M. Erlandson,Anthropology, Philip H 
Lamia Karim,Anthropology, associate professor (cultural anthropology) 
Gyoung-Ah Lee,Anthropology," associate professor (paleoethnobotany, archaeology, East Asia) "
Sandra L. Morgen,Anthropology," professor (gender, race, and class; women and health); associate dean, Graduate School "
Madonna L. Moss,Anthropology," professor (Northwest Coast, gender and archaeology, zooarchaeology) "
Theresa D. O’Nell,Anthropology," associate professor (cultural anthropology, psychological and medical anthropology, native North America) "
Philip W. Scher,Anthropology," professor (Caribbean, politics of culture, transnationalism) "
Carol T. Silverman,Anthropology," professor (performance, Eastern Europe, gender) "
J. Josh Snodgrass,Anthropology," associate professor (human biology, human nutrition and energetics, skeletal biology) "
Lynn Stephen,Anthropology," distinguished professor (ethnicity and political economies, gender, U "
Kirstin Sterner,Anthropology, assistant professor (molecular anthropology) 
Lawrence S. Sugiyama,Anthropology," associate professor (evolutionary psychology, behavioral ecology, biocultural anthropology) "
Nelson Ting,Anthropology," associate professor (primate evolution, molecular anthropology) "
C. Melvin Aikens,Anthropology, professor emeritus 
Don E. Dumond,Anthropology, professor emeritus 
John R. Lukacs,Anthropology, professor emeritus 
Geraldine Moreno Black,Anthropology, professor emerita 
Paul E. Simonds,Anthropology, professor emeritus 
Harry F. Wolcott,Anthropology, professor emeritus 
Philip D. Young,Anthropology, professor emeritus 
Cynthia J. Budlong,Anthropology, Museum of Natural and Cultural History 
Thomas J. Connolly,Anthropology, Museum of Natural and Cultural History 
Pamela E. Endzweig,Anthropology, Museum of Natural and Cultural History 
Dennis L. Jenkins,Anthropology, Museum of Natural and Cultural History 
Brian Klopotek,Anthropology, ethnic studies 
Patricia Krier,Anthropology, Museum of Natural and Cultural History 
Brian L. O’Neill,Anthropology, Museum of Natural and Cultural History 
Ina Asim,Asian Studies, history (China) 
Lucien Brown,Asian Studies, East Asian languages and literatures (Korea) 
Steven T. Brown,Asian Studies, East Asian languages and literatures (Japan) 
Daniel P. Buck,Asian Studies, geography (China) 
Kathie Carpenter,Asian Studies, international studies (Southeast Asia) 
Scott DeLancey,Asian Studies, linguistics (Southeast Asia) 
Stephen W. Durrant,Asian Studies, East Asian languages and literatures (China) 
Maram Epstein,Asian Studies, East Asian languages and literatures (China) 
Alisa D. Freedman,Asian Studies, East Asian languages and literatures 
Andrew E. Goble,Asian Studies, history (Japan) 
Bryna Goodman,Asian Studies, history (China) 
Sangita Gopal,Asian Studies, English (South Asia) 
Alison Groppe,Asian Studies, East Asian languages and literatures (Chinese culture) 
Jeffrey E. Hanes,Asian Studies, history (Japan) 
Kaori Idemaru,Asian Studies, East Asian languages and literatures (Japan) 
Dong Hoon Kim,Asian Studies, East Asian languages and literatures (Korea) 
Karrie Koesel,Asian Studies, political scinece (China) 
Stephen W. Kohl,Asian Studies, East Asian languages and literatures (Japan) 
Robert Kyr,Asian Studies, music (Southeast Asia) 
Charles H. Lachman,Asian Studies, history of art and architecture (China) 
David Leiwei Li,Asian Studies, English (Chinese film) 
Daisuke Miyao,Asian Studies, East Asian languages and literatures 
Roxann Prazniak,Asian Studies, honors college (China) 
Eric Priest,Asian Studies, law (China) 
Tze-Lan Sang,Asian Studies, East Asian languages and literatures (China) 
Xiaobo Su,Asian Studies, geography (China) 
Ying Tan,Asian Studies, art (China) 
Mark T. Unno,Asian Studies, religious studies (East Asian religions) 
Tuong Vu,Asian Studies, political science (Southeast Asia) 
Yugen Wang,Asian Studies, East Asian languages and literatures (China) 
Jason Webb,Asian Studies, East Asian languages and literatures (Japan) 
Anita M. Weiss,Asian Studies, international studies (South Asia) 
Kyu Ho Youm,Asian Studies, journalism and communication 
C. Brian Barnett,Canadian Studies, Romance languages 
Gaylene Carpenter,Canadian Studies, arts and administration 
Patricia M. Dewey,Canadian Studies, arts and administration 
Michael Fakhri,Canadian Studies, law 
Susan W. Hardwick,Canadian Studies, geography 
Nancy Heapes,Canadian Studies," educational methodology, policy, and leadership "
Michael Malek Najjar,Canadian Studies, theater arts 
Gordon M. Sayre,Canadian Studies, English 
Michael G. Aronson,Cinema Studies, English 
Richard Herskowitz,Cinema Studies, arts and administration 
Lesli A. Larson,Cinema Studies, library 
Gabriela Martinez,Cinema Studies, journalism and communication 
Kate Mondloch,Cinema Studies, history of art and architecture 
Priscilla P. Ovalle,Cinema Studies, English 
Kartz Ucci,Cinema Studies, art 
Janet Wasko,Cinema Studies, journalism and communication 
Michael Allan,Cinema Studies, comparative literature 
Carl R. Bybee,Cinema Studies, journalism and communication 
Kenneth S. Calhoon,Cinema Studies, comparative literature 
Colin H. Ives,Cinema Studies, art 
Kathryn Rowe Karlin,Cinema Studies, English 
Katharina E. Loew,Cinema Studies, German and Scandinavian 
Debra L. Merskin,Cinema Studies, journalism and communication 
Daniel L. Miller,Cinema Studies, journalism and communication 
Jon Palfreman,Cinema Studies, journalism and communication 
Elizabeth M. Peterson,Cinema Studies, library 
Jenifer Presto,Cinema Studies, comparative literature 
John T. Ryan,Cinema Studies, art 
Biswarup Sen,Cinema Studies, journalism and communication 
Carol Stabile,Cinema Studies, journalism and communication 
William Cadbury,Cinema Studies, English 
Julia Lesage,Cinema Studies, English 
Sharon R. Sherman,Cinema Studies, English 
P. Lowell Bowditch,Classics," professor (Latin literature, comparative literature, literary theory) "
Cristina Calhoon,Classics," senior instructor (Latin literature, women in antiquity, Romans and barbarians) "
Christopher Eckerman,Classics," associate professor (Greek literature, lyric poetry, social history) "
Jeffrey M. Hurwit,Classics, professor 
Mary K. Jaeger,Classics," professor (Latin literature, historiography, food in antiquity) "
Steven Shankman,Classics, professor 
Malcolm Wilson,Classics," professor (ancient philosophy, history of science) "
